type,regency,province_code,,code
Kabupaten,Merauke,93,01,9301
Kabupaten,Mesuji,18,11,1811
Kota,Metro,18,72,1872
Kabupaten,Mimika,94,04,9404
Kabupaten,Minahasa,71,02,7102
Kabupaten,Minahasa Selatan,71,05,7105
Kabupaten,Minahasa Tenggara,71,07,7107
Kabupaten,Minahasa Utara,71,06,7106
Kabupaten,Mojokerto,35,16,3516
Kota,Mojokerto,35,76,3576
Kabupaten,Morowali,72,06,7206
Kabupaten,Morowali Utara,72,12,7212
Kabupaten,Muara Enim,16,03,1603
Kabupaten,Muaro Jambi,15,05,1505
Kabupaten,Muko Muko,17,06,1706
Kabupaten,Muna,74,03,7403
Kabupaten,Muna Barat,74,13,7413
Kabupaten,Murung Raya,62,12,6212
Kabupaten,Musi Banyuasin,16,06,1606
Kabupaten,Musi Rawas,16,05,1605
Kabupaten,Musi Rawas Utara,16,13,1613
Kabupaten,Nabire,94,01,9401
Kabupaten,Nagan Raya,11,15,1115
Kabupaten,Nagekeo,53,16,5316
Kabupaten,Natuna,21,03,2103
Kabupaten,Nduga,95,08,9508
Kabupaten,Ngada,53,09,5309
Kabupaten,Nganjuk,35,18,3518
Kabupaten,Ngawi,35,21,3521
Kabupaten,Nias,12,04,1204
Kabupaten,Nias Barat,12,25,1225
Kabupaten,Nias Selatan,12,14,1214
Kabupaten,Nias Utara,12,24,1224
Kabupaten,Nunukan,65,03,6503
Kabupaten,Ogan Ilir,16,10,1610
Kabupaten,Ogan Komering Ilir,16,02,1602
Kabupaten,Ogan Komering Ulu,16,01,1601
Kabupaten,Ogan Komering Ulu Selatan,16,09,1609
Kabupaten,Ogan Komering Ulu Timur,16,08,1608
Kabupaten,Pacitan,35,01,3501
Kota,Padang,13,71,1371
Kabupaten,Padang Lawas,12,21,1221
Kabupaten,Padang Lawas Utara,12,20,1220
Kota,Padang Panjang,13,74,1374
Kabupaten,Padang Pariaman,13,05,1305
Kota,Padangsidimpuan,12,77,1277
Kota,Pagar Alam,16,72,1672
Kabupaten,Pahuwato,75,04,7504
Kabupaten,Pakpak Bharat,12,15,1215
Kota,Palangkaraya,62,71,6271
Kota,Palembang,16,71,1671
Kota,Palopo,73,73,7373
Kota,Palu,72,71,7271
Kabupaten,Pamekasan,35,28,3528
Kabupaten,Pandeglang,36,01,3601
Kabupaten,Pangandaran,32,18,3218
Kabupaten,Pangkajene Kepulauan,73,10,7310
Kota,Pangkal Pinang,19,71,1971
Kabupaten,Paniai,94,03,9403
Kota,Pare Pare,73,72,7372
Kota,Pariaman,13,77,1377
Kabupaten,Parigi Moutong,72,08,7208
Kabupaten,Pasaman,13,08,1308
Kabupaten,Pasaman Barat,13,12,1312
Kabupaten,Pasangkayu (Mamuju Utara),76,01,7601
Kabupaten,Paser,64,01,6401
Kabupaten,Pasuruan,35,14,3514
Kota,Pasuruan,35,75,3575
Kabupaten,Pati,33,18,3318
Kota,Payakumbuh,13,76,1376
Kabupaten,Pegunungan Arfak,92,12,9212
Kabupaten,Pegunungan Bintang,95,02,9502
Kabupaten,Pekalongan,33,26,3326
Kota,Pekalongan,33,75,3375
Kota,Pekanbaru,14,71,1471
Kabupaten,Pelalawan,14,05,1405
Kabupaten,Pemalang,33,27,3327
Kota,Pematangsiantar,12,72,1272
Kabupaten,Penajam Paser Utara,64,09,6409
Kabupaten,Penukal Abab Lematang Ilir,16,12,1612
Kabupaten,Pesawaran,18,09,1809
Kabupaten,Pesisir Barat,18,13,1813
Kabupaten,Pesisir Selatan,13,01,1301
Kabupaten,Pidie,11,07,1107
Kabupaten,Pidie Jaya,11,18,1118
Kabupaten,Pinrang,73,15,7315
Kabupaten,Polewali Mandar,76,04,7604
Kabupaten,Ponorogo,35,02,3502
Kota,Pontianak,61,71,6171
Kabupaten,Poso,72,02,7202
Kota,Prabumulih,16,74,1674
Kabupaten,Pringsewu,18,10,1810
Kabupaten,Probolinggo,35,13,3513
Kota,Probolinggo,35,74,3574
Kabupaten,Pulang Pisau,62,11,6211
Kabupaten,Pulau Morotai,82,07,8207
Kabupaten,Pulau Taliabu,82,08,8208
Kabupaten,Puncak,94,05,9405
Kabupaten,Puncak Jaya,94,02,9402
Kabupaten,Purbalingga,33,03,3303
Kabupaten,Purwakarta,32,14,3214
Kabupaten,Purworejo,33,06,3306
Kabupaten,Raja Ampat,92,05,9205
Kabupaten,Rejang Lebong,17,02,1702
Kabupaten,Rembang,33,17,3317
Kabupaten,Rokan Hilir,14,07,1407
Kabupaten,Rokan Hulu,14,06,1406
Kabupaten,Rote Ndao,53,14,5314
Kota,Sabang,11,72,1172
Kabupaten,Sabu Raijua,53,20,5320
Kota,Salatiga,33,73,3373
Kota,Samarinda,64,72,6472
Kabupaten,Sambas,61,01,6101
Kabupaten,Samosir,12,17,1217
Kabupaten,Sampang,35,27,3527
Kabupaten,Sanggau,61,03,6103
Kabupaten,Sarmi,91,10,9110
Kabupaten,Sarolangun,15,03,1503
Kota,Sawahlunto,13,73,1373
Kabupaten,Sekadau,61,09,6109
Kabupaten,Seluma,17,05,1705
Kabupaten,Semarang,33,22,3322
Kota,Semarang,33,74,3374
Kabupaten,Seram Bagian Barat,81,06,8106
Kabupaten,Seram Bagian Timur,81,05,8105
Kota,Serang,36,73,3673
Kabupaten,Serang,36,04,3604
Kabupaten,Serdang Bedagai,12,18,1218
Kabupaten,Seruyan,62,07,6207
Kabupaten,Siak,14,08,1408
Kota,Sibolga,12,73,1273
Kabupaten,Sidenreng Rappang,73,14,7314
Kabupaten,Sidoarjo,35,15,3515
Kabupaten,Sigi,72,10,7210
Kabupaten,Sijunjung,13,03,1303
Kabupaten,Sikka,53,07,5307
Kabupaten,Simalungun,12,08,1208
Kabupaten,Simeulue,11,09,1109
Kota,Singkawang,61,72,6172
Kabupaten,Sinjai,73,07,7307
Kabupaten,Sintang,61,05,6105
Kabupaten,Situbondo,35,12,3512
Kabupaten,Sleman,34,04,3404
Kabupaten,Solok,13,02,1302
Kota,Solok,13,72,1372
Kabupaten,Solok Selatan,13,11,1311
Kabupaten,Soppeng,73,12,7312
Kabupaten,Sorong,92,01,9201
Kota,Sorong,92,71,9271
Kabupaten,Sorong Selatan,92,04,9204
Kabupaten,Sragen,33,14,3314
Kabupaten,Subang,32,13,3213
Kota,Subulussalam,11,75,1175
Kota,Sukabumi,32,72,3272
Kabupaten,Sukabumi,32,02,3202
Kabupaten,Sukamara,62,08,6208
Kabupaten,Sukoharjo,33,11,3311
Kabupaten,Sumba Barat,53,12,5312
Kabupaten,Sumba Barat Daya,53,18,5318
Kabupaten,Sumba Tengah,53,17,5317
Kabupaten,Sumba Timur,53,11,5311
Kabupaten,Sumbawa,52,04,5204
Kabupaten,Sumbawa Barat,52,07,5207
Kabupaten,Sumedang,32,11,3211
Kabupaten,Sumenep,35,29,3529
Kota,Sungai Penuh,15,72,1572
Kabupaten,Supiori,91,19,9119
Kota,Surabaya,35,78,3578
Kota,Surakarta,33,72,3372
Kabupaten,Tabalong,63,09,6309
Kabupaten,Tabanan,51,02,5102
Kabupaten,Takalar,73,05,7305
Kabupaten,Tambrauw,92,09,9209
Kabupaten,Tana Tidung,65,04,6504
Kabupaten,Tana Toraja,73,18,7318
Kabupaten,Tanah Bumbu,63,10,6310
Kabupaten,Tanah Datar,13,04,1304
Kabupaten,Tanah Laut,63,01,6301
Kota,Tangerang,36,71,3671
Kabupaten,Tangerang,36,03,3603
Kota,Tangerang Selatan,36,74,3674
Kabupaten,Tanggamus,18,06,1806
Kota,Tanjung Balai,12,74,1274
Kabupaten,Tanjung Jabung Barat,15,06,1506
Kabupaten,Tanjung Jabung Timur,15,07,1507
Kota,Tanjung Pinang,21,72,2172
Kabupaten,Tapanuli Selatan,12,03,1203
Kabupaten,Tapanuli Tengah,12,01,1201
Kabupaten,Tapanuli Utara,12,02,1202
Kabupaten,Tapin,63,05,6305
Kota,Tarakan,65,71,6571
Kota,Tasikmalaya,32,78,3278
Kabupaten,Tasikmalaya,32,06,3206
Kota,Tebing Tinggi,12,76,1276
Kabupaten,Tebo,15,09,1509
Kabupaten,Tegal,33,28,3328
Kota,Tegal,33,76,3376
Kabupaten,Teluk Bintuni,92,06,9206
Kabupaten,Teluk Wondama,92,07,9207
Kabupaten,Temanggung,33,23,3323
Kota,Ternate,82,71,8271
Kota,Tidore Kepulauan,82,72,8272
Kabupaten,Timor Tengah Selatan,53,02,5302
Kabupaten,Timor Tengah Utara,53,03,5303
Kabupaten,Toba,12,12,1212
Kabupaten,Tojo Una Una,72,09,7209
Kabupaten,Toli Toli,72,04,7204
Kabupaten,Tolikara,95,04,9504
Kota,Tomohon,71,73,7173
Kabupaten,Toraja Utara,73,26,7326
Kabupaten,Trenggalek,35,03,3503
Kota,Tual,81,72,8172
Kabupaten,Tuban,35,23,3523
Kabupaten,Tulang Bawang,18,05,1805
Kabupaten,Tulang Bawang Barat,18,12,1812
Kabupaten,Tulungagung,35,04,3504
Kabupaten,Wajo,73,13,7313
Kabupaten,Wakatobi,74,07,7407
Kabupaten,Waropen,91,15,9115
Kabupaten,Way Kanan,18,08,1808
Kabupaten,Wonogiri,33,12,3312
Kabupaten,Wonosobo,33,07,3307
Kabupaten,Yahukimo,95,03,9503
Kabupaten,Yalimo,95,06,9506
Kota,Yogyakarta,34,71,3471
